,Le Pen_Polls,Macron_Polls,Mélenchon_Polls,Pécresse_Polls,Zemmour_Polls
2022-01-17,,,,,
2022-01-18,,,,,
2022-01-19,,,,,
2022-01-20,,,,,
2022-01-21,,,,,
2022-01-22,,,,,
2022-01-24,0.17797188396756586,0.2564106828376036,0.10655536167485645,0.17210475307442405,0.1340190014194821
2022-01-25,0.17718731384661127,0.25673758705466804,0.10605192918057726,0.17344506036438814,0.13581697461333628
2022-01-26,0.17713681812060109,0.25661292573108035,0.10570792704713286,0.17287777244249236,0.13669433785276336
2022-01-27,0.176975370069971,0.2558873979606977,0.10487103307039718,0.17347480074400615,0.138708814141646
2022-01-28,0.1766334906237371,0.2550110862766729,0.10444728594067818,0.1725113818447532,0.13951504708860749
2022-01-29,0.17352467592887064,0.2524626410960567,0.11060723023335588,0.16861763779352884,0.14353034188005528
2022-01-31,0.17582974790607375,0.25407851156438627,0.1055453522206582,0.1709854885220353,0.14190218861255774
2022-02-01,0.17626747981701993,0.25324363215807827,0.10502645147854316,0.17086180268406376,0.1430694737084143
2022-02-02,0.17819511770368293,0.2527894766350425,0.10637882570269415,0.16951952080486912,0.14220153204216812
2022-02-03,0.1775697875437832,0.2524828543340692,0.1065538713646611,0.16904194633736466,0.14410305813625227
2022-02-04,0.17718452063677717,0.2532877016606557,0.1077257429713153,0.1669214581299199,0.1449939064184049
2022-02-05,0.1743147808422647,0.2519728963227034,0.11343766675984422,0.16216611427289518,0.14848168345261345
2022-02-07,0.17648621270998457,0.25302152897988506,0.1072777224671665,0.16381013953896767,0.1472785371426055
2022-02-08,0.17544406114427277,0.2544546508318551,0.10650319158792358,0.16326923192999723,0.1479911752897986
2022-02-09,0.17532005320776484,0.25519869845090265,0.10613116777839979,0.16202915256491784,0.14873522290884625
2022-02-10,0.17528382203858764,0.2534024181959121,0.10582726247742177,0.1610403472104574,0.14955893635748954
2022-02-11,0.17513732665882653,0.2528888794470792,0.10764477109006224,0.1594240685150712,0.15069226325146554
2022-02-14,0.1742186298266357,0.25263313759187805,0.10853042744767175,0.15827580474910077,0.15153672629011644
2022-02-15,0.17471988295946775,0.2550430084228015,0.10473247101813636,0.16031937521372389,0.14947387685884594
2022-02-16,0.17421668215199687,0.2550395819581592,0.10615004839015547,0.15739855885362788,0.14917479544506707
2022-02-17,0.17318155945613406,0.25372238513678996,0.10729195932961122,0.155654209057887,0.15017290388916663
2022-02-18,0.1704049293096453,0.253253769027107,0.10894646110461427,0.15511928536261624,0.15173176972341804
2022-02-21,0.16920220828581048,0.2539308030331219,0.11078170231440665,0.15271469119723344,0.15302182262279393
2022-02-22,0.16923378590359497,0.25460235370467255,0.11064486597067373,0.14959061221108547,0.15259236702092455
2022-02-23,0.16775719686223908,0.2541031982832373,0.1126832421023141,0.14698190830704477,0.15402055886362412
2022-02-24,0.16787929698433923,0.25324849742853645,0.1130495424686145,0.14515040647554295,0.1542647591078244
2022-02-25,0.16799023913183486,0.25351150682992707,0.11423356297378383,0.14496199610436494,0.15461575710895295
2022-02-27,0.16851351183940794,0.2538673322710768,0.11414368319107127,0.1428627491245719,0.15287726048991024
2022-02-28,0.171692028931151,0.25548694449349046,0.11482457986116054,0.1400702108826868,0.1498576317790796
2022-03-01,0.17245339694319287,0.2582783146558657,0.11517088353823048,0.13910349854227405,0.14687404432302392
2022-03-02,0.17302267904113736,0.2619288749943241,0.11513044273345847,0.13976766098987597,0.14364500160353533
2022-03-03,0.17342913037507607,0.2668600315275042,0.11368871414164557,0.1392021500533701,0.13857825834117657
2022-03-04,0.1747500316959774,0.2718439365114092,0.11380526425819568,0.13816984902106907,0.13440465416757238
2022-03-06,0.17342219286813854,0.2759281855956583,0.1137411616940931,0.13694274279396285,0.1317215039844222
